variant,model,condition,n,overall_score_mean,overall_score_sd,prediction_score_mean,prediction_score_sd,representation_score_mean,representation_score_sd,prediction_raw_mae_mean,prediction_raw_mae_sd,prediction_raw_accuracy_mean,prediction_raw_accuracy_sd,prediction_active_taxel_accuracy_mean,prediction_active_taxel_accuracy_sd,prediction_active_taxel_mae_mean,prediction_active_taxel_mae_sd,prediction_profile_accuracy_mean,prediction_profile_accuracy_sd,prediction_peak_accuracy_mean,prediction_peak_accuracy_sd,pca_total_explained_variance_mean,pca_total_explained_variance_sd,pca_raw_pred_gap_mean,pca_raw_pred_gap_sd,latent_combo_separation_ratio_mean,latent_combo_separation_ratio_sd,latent_combo_nearest_separation_ratio_mean,latent_combo_nearest_separation_ratio_sd,best_composite_run,best_composite_score
selftouch_fcn,FCN,no-history,5,19.80145375071703,1.9950615090131663,10.636380493160214,3.1530460414938917,32.63255631129657,4.7076373585969975,90.26288452148438,0.562996701300118,88.93348947672479,0.11045183512997003,64.09746139109235,0.48348863304333806,202.03662300109863,3.1718164225158847,87.96397715806961,2.3015775716727807,48.85043540409236,0.5515258231389776,0.5777079105377197,0.004390183992170832,23.090408325195312,0.09998548102877235,4.625248072585491,0.8803889880871569,2.5077994425856533,0.4255167380302959,sandy-plasma-2,23.208045265349217
selftouch_fcn,FCN,history-2step,5,75.76043514805055,1.673999760977675,94.13983044524096,2.730485483659482,50.029281731983986,1.5977505216009156,47.267156982421874,0.19272375232589004,96.92914448938811,0.04120219499308766,88.3764723690535,0.15397265021450468,92.76312313079833,0.6346058896487294,93.64646135767302,2.7166166940279486,79.86358522416018,0.1625588552758667,0.5643602728843689,0.002216300164710884,22.34760627746582,0.05464050528431161,4.646077041827395,0.13812675482284073,2.6057868678069918,0.2842641217358869,ancient-resonance-6,77.44719804544077
selftouch_transformer,Transformer,no-history,5,14.359446540440922,2.8971782149561087,10.928414338439511,3.6661832350712067,19.162891623242892,2.003184546596144,92.68754539489746,1.2336883902598026,88.18920175711202,0.2746197185015953,63.22252052056623,0.8789042342284376,205.58288536071777,3.9431789451772183,91.96754350264868,2.388320854519623,48.08609596555221,0.5854314545986266,0.5695938467979431,0.003096203973457463,23.096885681152344,0.06219971849463265,2.5505511846080853,0.6218422226742496,1.2325274623146865,0.292784959107258,classic-bird-3,18.648093902546798
selftouch_transformer,Transformer,history-2step,5,62.572673141956635,2.083986434358323,77.53190703915918,1.2421181995924828,41.62974568587307,3.954762505468341,57.28092279434204,0.3694821096838242,95.11282145837575,0.050128386320032865,81.98360195919861,0.32400891640137486,116.56563568115234,1.2038242247493478,95.07549466192722,0.8361297901356525,72.03407873708268,0.4782263047984948,0.5631658792495727,0.003204766410902058,22.412338256835938,0.13393716661083446,3.2710640250814267,0.25367235647323383,1.7867531960719176,0.2249676357703138,magic-sea-7,65.34814209515899
selftouch_gru_attention,GRU-Attention,no-history,5,20.00969062550331,2.5420445119773207,13.905697872929105,3.520594092107475,28.555280479107203,1.525559229214833,88.99528331756592,0.9768478552126837,89.17211287177888,0.17286889377963716,64.52251650289364,0.3661885662062002,197.68431930541993,3.3974368410225106,88.49652761220932,3.215930713165994,49.88626231818159,0.5011830362380132,0.567174208164215,0.004051714606378287,22.93706855773926,0.06934749068798195,3.8949906731909083,0.35429667457041764,2.101536417751062,0.22192263284641162,tough-cloud-10,23.66698643542246
selftouch_gru_attention,GRU-Attention,history-2step,5,71.39422923639279,0.9153865540047734,89.94933818140518,0.8065623563385963,45.41707671337543,1.1727769391178942,48.14324016571045,0.2927596485594204,96.71025400209244,0.06196292069356385,87.00041672510828,0.15685363320954962,98.099196434021,0.3730645774569128,93.1512638181448,0.8681781287961734,77.44402170077278,0.21627091806638848,0.5641731500625611,0.0013756794905936565,22.293386459350586,0.047070865259502444,2.957537766188749,0.2322473859850465,1.6752898154445195,0.1144725506923985,gallant-mountain-5,72.38816291915968
selftouch_temporal_mixer,Temporal Mixer,no-history,5,22.030734332931544,1.6092015800368298,15.362106318438085,1.8120427721458856,31.36681355322238,3.306579580038286,92.04590759277343,1.17612143837091,88.51295754741643,0.23331225671727637,63.43484706792513,0.39383048157613143,205.48719635009766,2.6888411924995324,95.75332983334859,0.590321746743456,48.36806025327628,0.4272697543276918,0.5644862055778503,0.0033605601617613264,22.85843505859375,0.07800438596975286,4.356995338644181,0.34077386770763807,2.309847899063328,0.2533635943865759,vague-shape-4,24.376243358412832
selftouch_temporal_mixer,Temporal Mixer,history-2step,5,76.26837425244985,1.416836417398072,95.7763326136567,1.6195048161642538,48.957232546760274,2.0121819847648683,49.98402328491211,0.9528849440042214,96.5692248008846,0.16589545939877656,87.42117319012321,0.3999686406169129,95.26262874603272,1.3780150975529057,98.13456857701142,0.5286642323438657,78.88376418074166,0.5540129151422106,0.5600081562995911,0.002462406804393087,22.26198081970215,0.08372887501631293,4.315709310261468,0.08352057103366364,2.3998320427303517,0.20250464503583224,lunar-haze-8,77.49076700964687
selftouch_mamba,Mamba,no-history,5,26.993046882255527,1.8783857547633311,26.85537781646674,2.5163859766146746,27.185783574359835,3.3756734027471302,85.2981466293335,1.696995810960398,89.8000044410451,0.2492945522615352,68.04131373178197,0.31839792963081104,182.75103759765625,3.4153357177948,92.46224023898442,1.5435999544562167,54.02503129720238,0.2136862804639202,0.5800997614860535,0.003741029235680993,23.203334426879884,0.08320050815972252,3.8349898709851855,0.556101034188831,2.1103074415907046,0.4464156891152281,electric-field-1,29.494694842509656
selftouch_mamba,Mamba,history-2step,5,75.54503179550986,0.9913076308288703,92.84513606949469,1.771854864625445,51.324885811931075,1.1723626211040383,49.4046950340271,0.20523203892211858,96.644785622338,0.0392717582215487,87.26770143875541,0.24857235584331247,97.10576477050782,1.0004505044683873,95.35549358526865,2.4503476925508996,78.86381482758293,0.33199883084500914,0.5653198957443237,0.0017316141075515502,22.389283752441408,0.02160585163197927,5.183008014541199,0.18705315926427216,2.937995112588335,0.11190242126075899,confused-capybara-6,76.5081656948043
