variant,model,history,n,prediction_raw_mae_mean,prediction_raw_mae_sd,prediction_raw_accuracy_mean,prediction_raw_accuracy_sd,prediction_active_taxel_accuracy_mean,prediction_active_taxel_accuracy_sd,prediction_active_taxel_mae_mean,prediction_active_taxel_mae_sd,prediction_profile_accuracy_mean,prediction_profile_accuracy_sd,prediction_peak_accuracy_mean,prediction_peak_accuracy_sd,pca_total_explained_variance_mean,pca_total_explained_variance_sd,pca_raw_pred_gap_mean,pca_raw_pred_gap_sd,pca_centroid_raw_pred_gap_mean,pca_centroid_raw_pred_gap_sd,latent_combo_separation_ratio_mean,latent_combo_separation_ratio_sd,latent_combo_nearest_separation_ratio_mean,latent_combo_nearest_separation_ratio_sd,latent_combo_centroid_spread_mean,latent_combo_centroid_spread_sd,latent_combo_within_spread_mean,latent_combo_within_spread_sd,latent_combo_nearest_centroid_distance_mean,latent_combo_nearest_centroid_distance_sd,latent_pca_total_explained_variance_mean,latent_pca_total_explained_variance_sd,best_active_acc_mean,best_active_acc_sd,best_raw_mae_mean,best_raw_mae_sd,index_raw_mae_mean,index_raw_mae_sd,index_raw_accuracy_mean,index_raw_accuracy_sd,index_active_taxel_accuracy_mean,index_active_taxel_accuracy_sd,index_active_taxel_mae_mean,index_active_taxel_mae_sd,index_profile_accuracy_mean,index_profile_accuracy_sd,index_peak_accuracy_mean,index_peak_accuracy_sd,thumb_raw_mae_mean,thumb_raw_mae_sd,thumb_raw_accuracy_mean,thumb_raw_accuracy_sd,thumb_active_taxel_accuracy_mean,thumb_active_taxel_accuracy_sd,thumb_active_taxel_mae_mean,thumb_active_taxel_mae_sd,thumb_profile_accuracy_mean,thumb_profile_accuracy_sd,thumb_peak_accuracy_mean,thumb_peak_accuracy_sd,middle_raw_mae_mean,middle_raw_mae_sd,middle_raw_accuracy_mean,middle_raw_accuracy_sd,middle_active_taxel_accuracy_mean,middle_active_taxel_accuracy_sd,middle_active_taxel_mae_mean,middle_active_taxel_mae_sd,middle_profile_accuracy_mean,middle_profile_accuracy_sd,middle_peak_accuracy_mean,middle_peak_accuracy_sd,ring_raw_mae_mean,ring_raw_mae_sd,ring_raw_accuracy_mean,ring_raw_accuracy_sd,ring_active_taxel_accuracy_mean,ring_active_taxel_accuracy_sd,ring_active_taxel_mae_mean,ring_active_taxel_mae_sd,ring_profile_accuracy_mean,ring_profile_accuracy_sd,ring_peak_accuracy_mean,ring_peak_accuracy_sd,best_run_active,best_run_rawmae
selftouch_fcn,FCN,False,5,90.26288452148438,0.562996701300118,88.93348947672479,0.11045183512997003,64.09746139109235,0.48348863304333806,202.03662300109863,3.1718164225158847,87.96397715806961,2.3015775716727807,48.85043540409236,0.5515258231389776,0.5777079105377197,0.004390183992170832,23.090408325195312,0.09998548102877235,23.028557586669923,0.09863851484726155,4.625248072585491,0.8803889880871569,2.5077994425856533,0.4255167380302959,8.66568295319875,0.4791363170819518,1.912011053165625,0.25635625193126244,4.720915857950846,0.40835171787373487,0.3240784764289856,0.02247938956240527,64.11296642451275,0.46305761255218975,90.26288452148438,0.562996701300118,116.31322784423828,1.6455787211730666,84.36754942912837,0.32269791521367885,52.470759794905675,0.5964862378507341,268.8945251464844,4.929502941361162,80.7411028544108,3.362370244714673,31.0012016422444,0.8912028354163983,85.17783050537109,0.8030484401299013,89.27829573934837,0.21900460567463856,51.744845274974196,0.8765415643539377,239.00603942871095,4.565286361328959,85.4285348256429,2.966021996203566,44.2344222243675,1.082095060949937,105.03604125976562,1.3537333287021682,86.9514978237981,0.3740578539006082,62.819112901215874,0.9232388076527347,213.69613647460938,5.458070681814004,93.16369128227234,4.277046866146081,41.683536166345235,0.6923436562184137,54.5244384765625,1.245470206093745,95.1366149146243,0.18419606750549805,89.35512759327362,0.5657925516368687,86.54979095458984,3.0800361260478475,92.52257966995239,3.5094510517235484,78.48258158341228,1.488950826816767,sandy-plasma-2,sandy-plasma-2
selftouch_fcn,FCN,True,5,47.267156982421874,0.19272375232589004,96.92914448938811,0.04120219499308766,88.3764723690535,0.15397265021450468,92.76312313079833,0.6346058896487294,93.64646135767302,2.7166166940279486,79.86358522416018,0.1625588552758667,0.5643602728843689,0.002216300164710884,22.34760627746582,0.05464050528431161,22.320108795166014,0.05472864554343042,4.646077041827395,0.13812675482284073,2.6057868678069918,0.2842641217358869,8.250994091828664,0.09979965909815808,1.7767905872129521,0.04004571233651492,4.622387548287709,0.43176138905905725,0.29892170429229736,0.006086309302507315,88.3764723690535,0.15397265021450468,47.267156982421874,0.19272375232589004,53.532711029052734,0.46359205659503605,96.17451684767472,0.08167816817790302,85.86511970091662,0.1494944794294606,109.34834442138671,0.8935000390268115,93.62753327687582,3.65531362250306,72.37491238025301,0.3765963315742921,48.92416915893555,0.4346313905253883,97.74914694142765,0.057268962239944265,88.4341405460622,0.1451911230367282,100.70623168945312,0.9056967907445371,96.40143096446991,2.909193625160542,84.69178616249452,0.26035456602809415,59.2034294128418,0.48954824684009196,95.21072712769084,0.12992761024007393,83.39337300397486,0.562446680008213,112.6362060546875,1.5124982727562366,94.46675252914429,3.7758429161667024,71.26607701004188,0.37979174120871845,27.408318328857423,0.4790799183704512,98.58218704075921,0.04449606696378913,95.81325622526037,0.0902126999832392,48.36171035766601,1.0610296507209023,90.09012866020203,5.084380041358585,91.12156534385124,0.1565753753070978,balmy-spaceship-8,balmy-spaceship-8
selftouch_transformer,Transformer,False,5,92.68754539489746,1.2336883902598026,88.18920175711202,0.2746197185015953,63.22252052056623,0.8789042342284376,205.58288536071777,3.9431789451772183,91.96754350264868,2.388320854519623,48.08609596555221,0.5854314545986266,0.5695938467979431,0.003096203973457463,23.096885681152344,0.06219971849463265,23.025859451293947,0.06039442513357585,2.5505511846080853,0.6218422226742496,1.2325274623146865,0.292784959107258,7.616800915400188,0.7712069269753647,3.0679446425969616,0.4192901742525949,3.6977684815724694,0.4238753491268601,0.3216398775577545,0.01519569432891843,63.228482225046875,0.8904957614869619,92.66583518981933,1.2693810783631243,119.51821746826172,3.6419477910704616,83.31592314118629,0.7313770316183777,51.319863070259075,2.039439304911538,271.916259765625,11.29952804766067,88.55524587631226,2.0892141293803714,30.71992834651802,1.1504250301244658,86.1238525390625,0.7647445522959144,89.08273647080665,0.16692973164497604,50.918357149994996,0.6711617913818481,243.9171173095703,2.8768438700678116,96.22136167685191,1.560429793313583,43.518635408389834,0.8054821854844113,106.03595275878907,1.4136225588612947,86.65350627564928,0.3151864220936119,62.088486325108434,0.9072843461298665,215.35955810546875,4.790928220114417,89.59689235687256,2.8141086396895,40.58615415308905,0.42537611628783734,59.07215881347656,1.163542401906517,93.7046411408058,0.25674979021270594,88.5633755369024,0.5878763370645843,91.13860626220703,3.107823124152601,93.49667410055795,3.9082721700120837,77.51966595421194,1.0309080111232967,classic-bird-3,classic-bird-3
selftouch_transformer,Transformer,True,5,57.28092279434204,0.3694821096838242,95.11282145837575,0.050128386320032865,81.98360195919861,0.32400891640137486,116.56563568115234,1.2038242247493478,95.07549466192722,0.8361297901356525,72.03407873708268,0.4782263047984948,0.5631658792495727,0.003204766410902058,22.412338256835938,0.13393716661083446,22.383381652832032,0.1339141337369038,3.2710640250814267,0.25367235647323383,1.7867531960719176,0.2249676357703138,7.778148504098256,0.2928510115759927,2.39094255615855,0.22406833279514976,4.247877204418183,0.4611089831065795,0.30400075316429137,0.017558294600350573,81.98360195919861,0.32400891640137486,57.28092279434204,0.3694821096838242,66.44702911376953,1.1674753244290474,93.8648649401281,0.13105631057777406,78.48579654222377,0.9232710530164108,138.6344970703125,4.283359523775765,96.90349014600119,1.7257140499784867,61.246203144297205,1.5891956822588666,61.226654052734375,0.7068534530921303,95.08901141743247,0.08799052669116458,77.75881327515182,0.7781183942339807,137.0174560546875,2.2886966247483067,91.53590671221414,3.9943767178669405,73.65712927827244,1.308048299465715,68.38348693847657,0.8963669720461578,93.2249792253986,0.13981700427839788,76.53185747872655,0.3933959247933321,137.12505493164062,1.1958068479408994,95.8555324077606,3.10384616487595,63.31781605373412,0.5320641936029662,33.066521072387694,0.7396426847907012,98.27243025054386,0.027396064845013262,95.1579405406923,0.07732656528564523,53.48553466796875,0.7214966119571073,96.00704938173294,2.3074632116196985,89.91516647202697,0.2667224718334019,misty-meadow-8,misty-meadow-8
selftouch_gru_attention,GRU-Attention,False,5,88.99528331756592,0.9768478552126837,89.17211287177888,0.17286889377963716,64.52251650289364,0.3661885662062002,197.68431930541993,3.3974368410225106,88.49652761220932,3.215930713165994,49.88626231818159,0.5011830362380132,0.567174208164215,0.004051714606378287,22.93706855773926,0.06934749068798195,22.875872802734374,0.07116491974063101,3.8949906731909083,0.35429667457041764,2.101536417751062,0.22192263284641162,13.185828296740848,0.48162842598917244,3.4009975458250885,0.2284895999178878,7.111416037877402,0.39970552005447074,0.4113895416259766,0.02752296235144315,64.55042460249544,0.3802518192616707,88.95333881378174,1.0028820946566965,114.5926498413086,2.497574608076517,84.3902784739627,0.28858637280734517,52.7286103583145,0.7699182069236069,259.92161560058594,6.976364031197473,87.61352046330771,4.19152129885345,33.10185030653003,0.5026625984398885,85.57539825439453,1.4463798649171538,89.4090077044463,0.28926232042154176,50.912583413832536,0.549289250370827,243.03726806640626,1.7800029838041853,81.57456747690836,3.563446997736634,43.19278495206553,0.7469542880146028,101.5291519165039,0.665374351478247,87.66836302797722,0.13772437595372042,64.69709660146108,0.760226203546425,201.90135498046874,4.424316509098106,91.77911710739136,7.194229683805578,44.1343353062446,0.8060594145837429,54.28393325805664,0.8467848813955472,95.22080228072933,0.25642672659506743,89.75177563796636,0.41970762599801437,85.87703857421874,2.52592302653166,93.01890540122986,3.398921269896709,79.11607870788622,0.9138317615402738,tough-cloud-10,cosmic-yogurt-8
selftouch_gru_attention,GRU-Attention,True,5,48.14324016571045,0.2927596485594204,96.71025400209244,0.06196292069356385,87.00041672510828,0.15685363320954962,98.099196434021,0.3730645774569128,93.1512638181448,0.8681781287961734,77.44402170077278,0.21627091806638848,0.5641731500625611,0.0013756794905936565,22.293386459350586,0.047070865259502444,22.2667236328125,0.04670110205405171,2.957537766188749,0.2322473859850465,1.6752898154445195,0.1144725506923985,12.902163321177166,0.3391832567821008,4.37660722355807,0.2261607935338673,7.311564826965332,0.11713169115900746,0.43856316804885864,0.00715023895745667,87.00041672510828,0.15685363320954962,48.14324016571045,0.2927596485594204,54.87748641967774,0.7103001236261196,95.8672096908939,0.19725282664674806,83.94842238020524,0.3371474017573349,116.67025299072266,1.601955481085141,95.11745933691661,1.8589770827437744,68.64976579102552,0.6669799803918939,50.2537841796875,0.2016496205110532,97.46465051517684,0.0711385556338188,86.42265969376993,0.34647695640798537,108.310400390625,1.3949602926806437,96.9846758643786,1.6097562171094766,82.41892724801912,0.39381079325982676,59.92191772460937,0.4594088356265072,94.90431035534831,0.04110930820013582,81.85730501960245,0.19703997506789658,118.93925628662109,0.599612583920073,88.51732134819031,3.274455194126577,68.00239409456672,0.15377226391263765,27.519772338867188,0.6173398040349671,98.6048454469507,0.016644070855711155,95.7732798068555,0.05083336649344694,48.47687606811523,0.6830535206685819,91.98559872309367,2.585832336107919,90.70499966947976,0.20066938677554214,summer-totem-1,charmed-wave-4
selftouch_temporal_mixer,Temporal Mixer,False,5,92.04590759277343,1.17612143837091,88.51295754741643,0.23331225671727637,63.43484706792513,0.39383048157613143,205.48719635009766,2.6888411924995324,95.75332983334859,0.590321746743456,48.36806025327628,0.4272697543276918,0.5644862055778503,0.0033605601617613264,22.85843505859375,0.07800438596975286,22.788999176025392,0.07655299156971268,4.356995338644181,0.34077386770763807,2.309847899063328,0.2533635943865759,8.291675208012261,0.3160405411962898,1.9087354992513244,0.10041324078529076,4.400345442692439,0.4445475349135188,0.29968770742416384,0.015553526399601472,63.4484996426749,0.3955307768348596,92.04590759277343,1.17612143837091,119.92371063232422,2.756265926572714,83.47557783347257,0.6861086330675664,51.40253515205658,1.5683581321928222,275.35784301757815,5.843469551201537,97.67764143149058,0.3208022553270205,30.62546591452763,1.102181051045491,86.58370513916016,1.5830390274278405,88.90709366007611,0.3573008649032798,50.86177453560286,1.0283983269577552,241.86705932617187,2.2802381036847166,90.69707043965658,1.9557199307648452,43.08384634235091,1.0520156707597856,105.4899887084961,1.8442671495671723,86.99231256538869,0.3644267639378644,61.694247052079604,0.5462314843473391,219.04879455566407,5.130027272136423,97.35394310951231,0.43473182080518935,40.47057258761721,0.942942023201238,56.18622589111328,1.4843765522296217,94.67684613072836,0.29854318839904104,89.78083153196148,0.5962814055683365,85.67508850097656,2.6319163260983856,97.28466435273488,1.0395086947980412,79.29235616860939,1.129186317296682,eternal-haze-5,vague-shape-4
selftouch_temporal_mixer,Temporal Mixer,True,5,49.98402328491211,0.9528849440042214,96.5692248008846,0.16589545939877656,87.42117319012321,0.3999686406169129,95.26262874603272,1.3780150975529057,98.13456857701142,0.5286642323438657,78.88376418074166,0.5540129151422106,0.5600081562995911,0.002462406804393087,22.26198081970215,0.08372887501631293,22.23441162109375,0.0836663915915857,4.315709310261468,0.08352057103366364,2.3998320427303517,0.20250464503583224,8.31909866174062,0.21930332924358392,1.928359373879814,0.06799243551053101,4.626270159085592,0.4030976691741561,0.3084930419921875,0.018992554183672017,87.42117319012321,0.3999686406169129,49.98402328491211,0.9528849440042214,56.835958862304686,1.46086656806995,95.52661654135338,0.30060649978265136,84.38961541060155,0.7184343809719872,112.9271240234375,2.591270426358493,98.66086703538896,0.43533730646232727,70.29807403451383,1.0243591083347006,52.51522674560547,0.7602971937646912,97.31468300380581,0.1860147858017197,87.15197139779931,0.686809539839016,105.0821533203125,2.3390398996860986,98.43271515766779,0.3890877441430006,83.83757973608192,0.7696200754667134,62.3109992980957,1.251803810161663,94.650457485014,0.19593123887053238,81.73287041687405,0.5944221344499644,117.34779357910156,1.280120635909647,98.25064055124919,0.5034868937168827,69.39744186562035,0.808747037073488,28.27390823364258,1.1102384243486432,98.78514217336519,0.03362315384653632,96.41023553521799,0.05841355560167758,45.693444061279294,0.9120410527485333,97.19405156373978,1.395941100193981,92.00196108675054,0.2284056544051629,earthy-resonance-9,earthy-resonance-9
selftouch_mamba,Mamba,False,5,85.2981466293335,1.696995810960398,89.8000044410451,0.2492945522615352,68.04131373178197,0.31839792963081104,182.75103759765625,3.4153357177948,92.46224023898442,1.5435999544562167,54.02503129720238,0.2136862804639202,0.5800997614860535,0.003741029235680993,23.203334426879884,0.08320050815972252,23.148237228393555,0.0828648316076514,3.8349898709851855,0.556101034188831,2.1103074415907046,0.4464156891152281,8.515916419029235,0.5434184831124421,2.2468988392007017,0.23531878036829623,4.678001213073731,0.7006473692040647,0.33522759675979613,0.023448692150269186,68.10616463468986,0.4035632652223016,85.29021759033203,1.6936094382614642,108.73806762695312,4.290858836943255,85.73644945697576,0.6572044688462232,59.690519267005484,0.9895444647370708,233.38600158691406,9.947718790564883,90.93036691347757,5.085085806362901,39.58420953080321,0.49640485569188636,82.42418670654297,0.663700430481594,89.94995265942634,0.1411131985314456,56.05729322807368,0.5167661009224418,221.41888732910155,1.1661536726370691,93.03087965647379,4.658051993902582,49.27559908809398,0.520475298695286,98.31536712646485,1.5743039740747788,88.0508553366595,0.25876292962826997,66.48349897173031,0.31668404185713445,192.1905731201172,3.147475075616013,93.61517564455667,3.472074465206903,47.40546651592738,0.09249862245214942,51.71496505737305,0.9419149998520142,95.46276031111883,0.11422283715440086,89.93394346031836,0.29130256895766266,84.0086883544922,1.8198836643556076,92.27253874142964,3.167796112957747,79.83485005398498,0.5100931456974434,playful-deluge-4,playful-deluge-4
selftouch_mamba,Mamba,True,5,49.4046950340271,0.20523203892211858,96.644785622338,0.0392717582215487,87.26770143875541,0.24857235584331247,97.10576477050782,1.0004505044683873,95.35549358526865,2.4503476925508996,78.86381482758293,0.33199883084500914,0.5653198957443237,0.0017316141075515502,22.389283752441408,0.02160585163197927,22.361221694946288,0.021924538767781103,5.183008014541199,0.18705315926427216,2.937995112588335,0.11190242126075899,8.41413972934087,0.13973524590292946,1.6249408921109285,0.058945685717528895,4.771552522977194,0.18432565387229052,0.3156859815120697,0.0139316078788027,87.26770143875541,0.24857235584331247,49.4046950340271,0.20523203892211858,55.83936462402344,0.4695994406132316,95.84101364522417,0.039724489642131884,84.72233065829874,0.3191904333933843,114.42040252685547,1.7725823504988738,95.77305253346762,4.272754358587536,70.86134383657665,0.586799756770849,51.66393127441406,0.30512763328534814,97.3764522417154,0.0771483416065046,86.74909785372462,0.29998009363499534,108.13644866943359,1.4744677305639535,97.55901704231898,1.6121393498176204,83.43130629794375,0.5030267373175404,61.50305023193359,0.6292448030495439,94.76870352064313,0.12567342755544958,81.69608985634434,0.7104421841963684,117.75235900878906,1.7098036991951961,93.97893311580022,4.146023354568494,69.77828024206956,0.5251038413842546,28.612434005737306,0.5080814091012312,98.59297308176933,0.015256267576889032,95.90328738665393,0.04822767669036398,48.11384887695313,0.4980895847132898,94.11097164948781,3.0498581685378436,91.3843289337417,0.1827934304687487,decent-universe-9,dulcet-bush-7
selftouch_contrastive_fcn,Contrastive FCN,False,5,90.12266883850097,2.0573668304096095,88.98557576425098,0.36067750461515374,63.93468657065067,0.3580245582501042,203.06126594543457,4.1985025277015495,89.05971573789915,2.505072475720559,48.56936620781844,0.43264019042359464,0.5760408639907837,0.00597736723369601,23.074500274658202,0.10291118182222975,23.013843154907228,0.1042516792088067,9.518446676860748,1.640078955409132,5.592642788530657,1.3531160225847083,9.295157893498738,0.2650726556004349,1.0040263153148499,0.20280197617515083,5.430669832229613,0.6034521568887066,0.6562823534011841,0.0400283869150561,63.97236434718076,0.3983332373612022,90.1104579925537,2.0488905760722074,115.79718017578125,5.4797517526328345,84.48891395154553,0.9250896856430257,52.61900650866696,0.6949516828894304,268.2852355957031,11.45566867805724,81.16806602478027,6.888693012189739,31.183506347563895,0.5121125548413075,85.09460144042968,0.6169497446245648,89.29884711779448,0.17555908699539352,51.2545218347157,0.5239600603442905,241.33697814941405,2.3448911281132676,88.55101660887401,6.168252535581641,43.41845941349889,0.6158674844633096,105.14818420410157,2.3138548644944112,86.97270400436682,0.5370594371431613,62.61977283661199,0.2552162119674149,215.32243957519532,3.917728002259939,93.82127467791238,4.71998772599715,41.291081997738914,0.6570283476830153,54.45070953369141,1.9775008235493456,95.18183798329707,0.4931840552318474,89.245445102608,0.3165179536416854,87.30041046142578,1.7731695324949277,92.6985056400299,3.5684840447096113,78.38441707247208,0.38551474277061326,clean-pine-1,clean-pine-1
